Primary_Segment,customer_count,accepted_cmp1_rate_pct,accepted_cmp2_rate_pct,accepted_cmp3_rate_pct,accepted_cmp4_rate_pct,accepted_cmp5_rate_pct,final_campaign_response_rate_pct
Campaign Responder,3225,15.38,1.71,7.13,6.11,5.27,100.0
Family Customer,7981,10.21,1.2,6.11,4.36,2.39,0.0
High Income,19782,20.77,2.04,7.25,8.56,8.08,23.54
High Spender,261,21.46,1.92,9.2,6.9,8.05,0.0
High Web Engagement,17243,7.61,0.95,5.32,3.57,2.11,0.0
Regular,2547,15.31,1.85,6.2,5.89,5.18,0.0
Young Customer,4961,7.08,0.75,4.88,3.23,1.63,7.74
